id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
35943,37.664674,-122.10888600000001,1185.25,1,1965,207984.91970000003,138656.613,S,S3,RES3A,8,5,POINT (-122.10888600000001 37.664674),RES3,Moderate-Code,
35944,37.66477999999999,-122.11048399999999,880.0,1,1965,205587.48619999998,137058.324,M,RM1,RES1,5,3,POINT (-122.11048399999999 37.66477999999999),RES1,Moderate-Code,Low-Rise
35945,37.664840000000005,-122.10882300000002,1706.0,2,1965,769631.9010000001,513087.934,W,W1,RES3E,97,50,POINT (-122.10882300000002 37.664840000000005),RES3,Moderate-Code,
35946,37.665071000000005,-122.11051600000002,1020.0,1,1965,223795.18060000002,149196.787,M,RM1,RES1,3,1,POINT (-122.11051600000002 37.665071000000005),RES1,Moderate-Code,Low-Rise
35947,37.665289,-122.109908,2208.62,2,1965,1359478.9,906319.267,W,W1,RES3B,17,9,POINT (-122.109908 37.665289),RES3,Moderate-Code,
35948,37.66530900000001,-122.109557,2142.25,2,1965,1318625.962,879083.975,W,W1,RES3B,17,9,POINT (-122.109557 37.66530900000001),RES3,Moderate-Code,
35949,37.66535600000001,-122.110551,1020.0,1,1965,223795.18060000002,149196.787,W,W1,RES1,4,3,POINT (-122.110551 37.66535600000001),RES1,Moderate-Code,
35950,37.665440000000004,-122.10959499999998,2189.75,2,1965,927758.884,618505.923,W,W1,RES3B,17,9,POINT (-122.10959499999998 37.665440000000004),RES3,Moderate-Code,
35951,37.665471,-122.10927300000002,2220.25,2,1965,940681.203,627120.802,W,W1,RES3B,17,9,POINT (-122.10927300000002 37.665471),RES3,Moderate-Code,
35952,37.66549100000001,-122.108942,1948.75,2,1965,825651.388,550434.259,W,W1,RES3B,16,9,POINT (-122.108942 37.66549100000001),RES3,Moderate-Code,
35953,37.665646,-122.110551,1900.0,1,1965,333205.128,222136.752,M,RM1,RES1,4,2,POINT (-122.110551 37.665646),RES1,Moderate-Code,Low-Rise
35954,37.66504799999999,-122.110914,1280.0,1,1957,255921.3152,170614.21,M,RM1,RES1,3,1,POINT (-122.110914 37.66504799999999),RES1,Moderate-Code,Low-Rise
35955,37.66519399999999,-122.110924,1020.0,1,1957,325133.421,216755.614,W,W1,RES1,3,1,POINT (-122.110924 37.66519399999999),RES1,Moderate-Code,
