loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
81,2,1,1,0,1,1,2,2,2,2,2,1,0,0,1,2,1,1,0,2,0,0,0,1,1,2,0,3,3,0,1,2,1,1,2,1,0,2,2,4,1,2,2,0,2,0,1,3,0,0
82,2,1,0,0,2,2,3,4,2,2,2,3,0,0,1,3,2,0,0,3,1,0,0,1,0,2,0,4,1,2,2,1,1,1,3,2,1,3,0,4,2,2,2,2,2,0,1,3,0,0
83,1,2,1,1,1,3,2,3,2,3,1,1,0,0,1,2,1,0,1,3,1,0,0,2,2,2,0,2,1,1,1,0,1,0,2,2,1,3,1,4,1,2,2,1,2,0,1,3,0,0
84,1,1,1,2,2,2,3,2,4,0,2,2,0,0,2,2,2,0,0,2,1,1,1,1,0,2,0,2,0,0,1,1,1,0,1,1,0,2,2,4,1,2,2,1,2,1,1,2,0,0
85,0,2,1,0,2,3,2,2,3,2,1,2,0,2,2,2,2,0,0,2,1,0,0,1,1,3,0,4,2,0,2,1,1,0,3,2,0,2,1,4,1,1,2,2,2,0,2,2,0,0
86,2,1,2,1,1,1,2,1,2,2,1,2,0,1,1,2,2,0,2,3,1,0,0,2,1,2,0,2,2,0,1,1,3,0,1,0,0,1,1,4,1,2,1,1,1,1,0,3,0,1
87,1,1,1,0,2,1,2,1,2,3,2,3,1,1,0,2,3,0,1,2,0,1,0,1,1,2,0,3,2,0,2,2,1,0,2,1,1,3,2,4,1,2,1,2,2,2,1,4,0,1
88,1,2,2,2,1,2,2,2,2,1,2,1,0,1,1,2,2,0,1,2,2,0,1,1,0,2,0,2,1,0,2,0,1,0,3,1,0,2,2,4,0,3,1,0,2,1,1,3,0,1
89,0,2,0,0,2,2,2,4,2,3,2,2,0,0,3,2,2,0,0,3,0,0,0,2,1,3,0,2,2,0,1,1,1,0,2,0,1,2,1,4,2,2,1,2,3,0,0,3,0,0
90,0,1,2,1,1,2,2,2,2,2,2,2,0,0,2,2,1,0,1,4,1,1,0,2,2,2,0,2,2,0,2,2,1,1,2,2,0,1,1,4,1,2,2,1,2,0,2,2,0,1
91,2,1,2,1,1,1,1,2,2,2,0,2,0,1,1,2,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,0,1,1,2,1,2,1,1,4,1,2,2,1,2,2,2,4,0,2
92,0,0,1,2,2,2,3,2,4,1,3,2,0,0,1,3,1,0,0,3,1,1,0,1,0,2,0,2,2,0,1,1,2,2,2,2,1,2,2,4,2,2,2,0,2,1,0,3,0,2
93,1,2,1,1,2,1,2,2,3,2,1,2,0,0,2,1,1,0,1,4,0,1,0,0,0,2,0,3,1,0,1,1,1,0,2,1,1,2,2,5,0,1,1,1,1,1,1,3,0,2
94,2,1,1,2,1,2,2,2,1,2,1,1,0,1,1,2,2,0,1,2,0,0,1,2,1,2,0,2,2,0,2,1,1,1,2,2,1,3,2,4,0,2,1,0,1,1,1,3,1,1
95,1,2,1,1,2,2,3,2,3,2,2,2,0,0,2,2,1,0,1,2,1,2,0,2,1,3,0,2,0,1,1,0,0,0,2,1,1,2,2,4,1,2,1,0,1,1,1,2,0,2
96,1,1,1,1,2,1,2,2,2,1,2,0,0,0,1,2,2,0,1,2,1,1,0,1,1,2,0,1,1,0,2,1,3,0,2,2,0,2,2,4,0,1,2,1,2,2,1,3,0,0
97,1,0,2,1,2,2,3,3,2,3,1,1,0,1,2,2,2,0,1,4,0,0,0,2,0,2,0,3,2,0,2,2,1,0,2,2,1,2,2,4,2,1,2,0,2,0,1,2,2,1
98,1,2,1,0,1,2,2,3,3,2,2,1,0,1,2,2,1,1,0,2,1,1,1,1,1,3,0,2,0,0,1,1,3,1,2,2,0,2,0,4,1,1,1,1,2,0,1,3,0,0
99,1,0,0,1,1,2,3,2,2,2,1,2,0,0,2,3,3,0,1,3,1,1,0,0,1,3,0,3,1,0,1,1,1,1,2,1,1,2,2,4,1,1,2,0,2,1,1,3,1,1
100,2,2,1,2,0,2,2,3,3,2,2,2,0,0,1,3,1,0,1,2,0,1,0,2,0,3,0,3,0,0,1,1,1,0,3,2,1,3,3,4,2,3,3,0,2,0,0,2,0,3
101,2,2,1,1,0,1,2,2,3,3,2,2,0,0,3,2,2,0,1,4,0,0,1,1,2,2,1,2,0,0,0,2,0,0,2,2,0,2,2,4,1,2,2,1,2,0,1,3,0,1
102,1,2,2,2,1,2,2,3,3,3,2,1,0,1,2,3,1,0,0,3,0,0,0,2,1,2,0,1,0,0,2,1,2,2,3,3,0,3,2,4,0,3,1,0,2,2,1,3,1,1
103,0,2,1,1,2,2,2,2,2,2,1,2,0,1,1,2,3,0,0,3,0,1,0,2,1,2,0,2,2,0,2,0,1,1,2,1,1,2,2,4,1,1,2,1,1,1,1,2,0,1
104,1,2,1,1,1,2,3,2,3,2,2,1,0,1,1,3,2,0,0,2,1,2,0,2,0,2,0,2,2,0,1,1,1,1,2,1,0,2,2,4,1,2,2,0,2,0,1,3,1,1
105,0,1,2,0,2,2,3,3,4,2,2,2,0,2,2,2,2,0,0,3,2,0,0,1,2,1,0,3,2,0,2,1,3,0,3,1,0,2,1,4,1,1,3,2,2,1,1,2,0,0
106,2,2,1,1,1,2,2,3,2,2,0,2,0,0,2,3,3,0,0,2,0,2,0,1,1,1,0,2,0,0,2,2,2,0,2,2,0,2,2,4,2,1,2,1,2,0,0,2,0,2
107,2,2,2,3,2,2,3,3,3,2,2,2,0,1,2,3,1,0,0,3,1,0,0,2,0,2,0,2,2,0,0,1,1,0,2,3,2,2,2,4,0,2,0,1,3,1,0,2,1,1
108,3,2,1,0,1,2,2,2,3,3,2,2,0,0,1,3,3,0,2,3,0,2,1,1,0,2,0,3,2,0,3,0,0,1,4,1,1,3,2,4,2,1,1,2,3,0,1,3,0,0
109,0,2,0,2,0,3,2,2,3,3,1,2,0,1,2,3,0,0,0,3,0,1,0,2,2,2,0,2,2,0,3,0,2,0,2,1,1,3,2,5,2,1,2,1,2,0,0,2,2,1
110,2,2,2,1,0,3,3,2,2,2,3,2,0,0,2,3,3,1,0,3,0,0,0,1,0,2,0,3,2,0,3,1,1,1,4,2,0,1,0,4,0,3,2,2,3,1,0,4,0,0
111,2,3,2,1,2,5,2,2,4,2,1,2,0,0,2,2,2,0,0,3,0,2,1,1,0,2,0,2,1,0,2,1,0,0,2,1,0,2,2,4,2,2,1,1,3,1,0,2,0,0
112,2,1,1,1,1,2,2,2,2,2,2,2,1,0,2,2,1,0,2,2,0,2,0,1,0,2,0,3,1,0,2,0,0,1,2,1,0,2,1,4,2,2,0,1,2,1,1,2,1,1
113,2,0,2,1,2,2,3,2,4,2,0,1,0,0,2,4,2,0,0,3,0,0,0,1,0,2,0,3,3,0,3,1,2,0,2,1,2,3,2,5,0,2,2,1,2,1,1,3,0,1
114,3,1,1,2,0,3,4,2,3,3,1,2,0,0,2,5,2,0,2,2,0,2,0,2,0,2,0,2,0,0,3,0,1,0,2,1,0,3,2,4,1,3,2,0,2,1,0,3,0,0
115,2,2,1,1,2,3,2,2,2,3,2,2,0,0,2,1,1,0,1,2,1,1,0,1,1,1,0,2,1,0,2,0,1,1,2,2,1,2,2,4,0,2,0,2,1,1,0,2,0,0
116,2,2,1,1,1,2,2,3,2,2,1,2,0,1,2,2,2,0,0,3,1,1,0,0,0,1,1,2,1,0,3,0,1,0,3,1,0,1,1,4,1,2,1,1,2,1,1,4,0,1
117,2,1,2,1,2,1,3,2,2,2,2,1,0,0,1,2,2,0,0,4,0,1,0,1,1,1,1,2,1,0,2,1,1,1,2,1,0,3,1,4,1,3,1,1,2,1,1,2,0,0
118,2,3,2,2,1,2,3,2,2,3,2,1,0,0,2,2,2,0,1,4,0,0,0,0,1,2,1,3,0,0,3,0,1,0,4,0,0,2,2,5,0,2,2,2,2,0,0,4,0,1
119,1,2,1,2,1,2,4,0,3,2,2,2,0,0,2,2,2,0,0,2,0,1,0,1,1,1,0,2,1,1,2,2,1,1,2,2,0,2,2,4,2,1,2,1,1,1,1,2,0,1
