id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,NightPopulation,DayPopulation,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
32543,37.61486628548523,-122.08221091516812,20718.5,1.0,1967.0,11378154.8,5268162.38,C2,C,IND2,0.0,0.0,3.0,60014384002023,6001438400,35898,POINT (-122.08221091516812 37.61486628548523),IND2,Moderate-Code,Low-Rise
32544,37.65386320376651,-122.03658742223735,2132.0,1.0,1983.0,715005.2069999999,476670.138,W1,W,RES1,1.0,3.0,2.0,60014351022024,6001435102,35899,POINT (-122.03658742223735 37.65386320376651),RES1,High-Code,
32545,37.650880573497055,-122.11803278956124,2808.5,1.0,1979.0,1290041.772,645020.886,PC1,C,COM2,0.0,0.0,1.0,60014372001031,6001437200,35900,POINT (-122.11803278956124 37.650880573497055),COM2,High-Code,
32546,37.63373406792056,-122.05740188985897,1050.0,1.0,1972.0,195901.902,130601.268,W1,W,RES1,1.0,3.0,2.0,60014382042008,6001438204,35901,POINT (-122.05740188985897 37.63373406792056),RES1,Moderate-Code,
32547,37.63363182998925,-122.05726802376533,1475.0,1.0,1972.0,239585.34149999998,159723.561,W1,W,RES1,1.0,2.0,1.0,60014382042008,6001438204,35902,POINT (-122.05726802376533 37.63363182998925),RES1,Moderate-Code,
32548,37.646064038615066,-122.08805706669294,1210.0,1.0,1956.0,355783.966,237189.311,W1,W,RES1,1.0,2.0,0.0,60014374001003,6001437400,35903,POINT (-122.08805706669294 37.646064038615066),RES1,Moderate-Code,
32549,37.606569612514974,-122.09555423752244,1856.5,2.0,2004.0,813282.885,542188.59,W1,W,RES1,1.0,3.0,1.0,60014371011098,6001437101,35904,POINT (-122.09555423752244 37.606569612514974),RES1,High-Code,
32550,37.65829126498284,-122.04740034136907,1679.0,2.0,1988.0,666308.833,444205.889,W1,W,RES1,1.0,3.0,3.0,60014351021006,6001435102,35905,POINT (-122.04740034136907 37.65829126498284),RES1,High-Code,
32551,37.68630596017719,-122.05762018212387,1679.0,1.0,1971.0,427092.44399999996,284728.296,W1,W,RES1,1.0,4.0,2.0,60014352001035,6001435200,35906,POINT (-122.05762018212387 37.68630596017719),RES1,Moderate-Code,
32552,37.62614261840847,-122.03919693975807,1408.0,1.0,1968.0,384198.414,256132.276,W1,W,RES1,1.0,2.0,1.0,60014380001003,6001438000,35907,POINT (-122.03919693975807 37.62614261840847),RES1,Moderate-Code,
32553,37.62626206972618,-122.03900355699056,825.093781,1.0,1968.0,744591.875,454801.522,W1,W,RES1,1.0,3.0,22.0,60014380001003,6001438000,35908,POINT (-122.03900355699056 37.62626206972618),RES1,Moderate-Code,
32554,37.60915314397403,-122.09403834769068,1343.5,2.0,2004.0,656558.094,437705.396,W1,W,RES1,1.0,4.0,2.0,60014371011094,6001437101,35909,POINT (-122.09403834769068 37.60915314397403),RES1,High-Code,
32555,37.66444074130032,-122.10304674481588,918.0,1.0,1955.0,308988.646,205992.431,W1,W,RES1,1.0,3.0,1.0,60014367002019,6001436700,35910,POINT (-122.10304674481588 37.66444074130032),RES1,Moderate-Code,
32556,37.64312122556526,-122.13658571516585,37964.5,1.0,2004.0,13740248.86,6870124.43,C2,C,COM4,0.0,0.0,5.0,60014371011049,6001437101,35911,POINT (-122.13658571516585 37.64312122556526),COM4,High-Code,Low-Rise
32557,37.62622812647756,-122.07738993060363,1264.0,1.0,1955.0,254128.48200000002,169418.988,W1,W,RES1,1.0,6.0,3.0,60014382011007,6001438201,35912,POINT (-122.07738993060363 37.62622812647756),RES1,Moderate-Code,
32558,37.61204898752178,-122.09400616296644,1343.5,2.0,2004.0,656558.094,437705.396,W1,W,RES1,1.0,5.0,2.0,60014371011101,6001437101,35913,POINT (-122.09400616296644 37.61204898752178),RES1,High-Code,
32559,37.61213522417353,-122.094153311502,1226.0,2.0,2004.0,625457.101,416971.401,W1,W,RES1,1.0,4.0,1.0,60014371011101,6001437101,35914,POINT (-122.094153311502 37.61213522417353),RES1,High-Code,
32560,37.62977438089196,-122.08065366577839,1000.0,1.0,1955.0,220952.16,147301.44,W1,W,RES1,1.0,3.0,2.0,60014382011003,6001438201,35915,POINT (-122.08065366577839 37.62977438089196),RES1,Moderate-Code,
32561,37.63975735891465,-122.07285999688985,1605.81279,1.0,1973.0,952171.8841,518433.602,W1,W,RES1,1.0,6.0,21.0,60014377021006,6001437702,35916,POINT (-122.07285999688985 37.63975735891465),RES1,Moderate-Code,
32562,37.656405344614164,-122.04332150122116,3341.0,2.0,1983.0,2559283.141,1706188.761,W1,W,RES3A,2.0,7.0,4.0,60014351022001,6001435102,35917,POINT (-122.04332150122116 37.656405344614164),RES3,High-Code,
32563,37.62129874196381,-122.09660797172211,926.0,2.0,1976.0,468323.275,312215.517,W1,W,RES1,1.0,3.0,1.0,60014371012003,6001437101,35918,POINT (-122.09660797172211 37.62129874196381),RES1,High-Code,
32564,37.62585007760462,-122.08447607629608,1000.0,1.0,1956.0,279666.72000000003,186444.48,W1,W,RES1,1.0,3.0,0.0,60014383002008,6001438300,35919,POINT (-122.08447607629608 37.62585007760462),RES1,Moderate-Code,
32565,37.63879949188686,-122.0917880851296,1540.0,1.0,1968.0,246276.6766,164184.451,W1,W,RES1,1.0,3.0,1.0,60014373002008,6001437300,35920,POINT (-122.0917880851296 37.63879949188686),RES1,Moderate-Code,
32566,37.662078739211765,-122.0932842129434,1704.0,1.0,2011.0,2690351.234,1793567.4900000002,W1,W,RES3A,2.0,0.0,0.0,60014363004014,6001436300,35921,POINT (-122.0932842129434 37.662078739211765),RES3,High-Code,
