id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
18,37.63243431547939,-122.04395268239597,1059.3333333333333,1.5,1988.0,406529.76,271019.84,W1,W,RES1,1.0,60014351042000.0,6001435104.0,5944.0,POINT (-122.04395268239597 37.63243431547939),RES1,High-Code,
19,37.65466256154806,-122.03460031317509,1887.0,1.0,1970.0,482770.0800000001,321846.72000000003,W1,W,RES1,1.0,60014351023000.0,6001435102.0,14099.0,POINT (-122.03460031317509 37.65466256154806),RES1,Moderate-Code,
20,37.62233676179632,-122.06883333434264,2027.82616462,1.0,1963.0,224845.3651330656,149896.9100887104,MH,H,RES2,1.0,60014382031033.0,6001438203.0,5108.0,POINT (-122.06883333434264 37.62233676179632),RES2,Moderate-Code,
21,37.630010577075666,-122.08646595499788,1119.0,1.0,1956.0,286284.96,190856.64,W1,W,RES1,1.0,60014383001002.0,6001438300.0,33447.0,POINT (-122.08646595499788 37.630010577075666),RES1,Moderate-Code,
22,37.62416344635951,-122.07109084139172,3161.6560364362317,1.0,1952.0,808878.0803618456,539252.0535745637,W1,W,RES1,1.0,60014382031037.0,6001438203.0,23673.0,POINT (-122.07109084139172 37.62416344635951),RES1,Moderate-Code,
23,37.65011194995138,-122.07602886964658,1079.62933964,1.0,1948.0,276212.3702534976,184141.5801689984,W1,W,RES1,1.0,60014366013009.0,6001436601.0,32947.0,POINT (-122.07602886964658 37.65011194995138),RES1,Moderate-Code,
24,37.62242943999779,-122.07263577066229,18.027255836655183,1.0,1970.0,1998.8621271683267,1332.574751445551,MH,H,RES2,1.0,60014382012013.0,6001438201.0,15741.0,POINT (-122.07263577066229 37.62242943999779),RES2,Moderate-Code,
25,37.659794392232634,-122.10120673001772,1532.0,1.0,1950.0,391946.88,261297.92,W1,W,RES1,1.0,60014367002006.0,6001436700.0,36756.0,POINT (-122.10120673001772 37.659794392232634),RES1,Moderate-Code,
26,37.67013203179742,-122.07397857019998,2397.778115560005,2.0,1963.0,1799700.3201958728,1199800.2134639153,W1,W,RES3C,7.0,60014364032001.0,6001436403.0,9249.0,POINT (-122.07397857019998 37.67013203179742),RES3,Moderate-Code,
27,37.61448055257539,-122.03769076243935,1522.0,1.0,1956.0,389388.48,259592.32,W1,W,RES1,1.0,60014381004008.0,6001438100.0,20510.0,POINT (-122.03769076243935 37.61448055257539),RES1,Moderate-Code,
