loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
42,0.02,0.1,0.02,0.02,0.0,0.1,0.447,0.447,0.1,0.1,0.02,0.02,0.0,0.02,0.02,0.1,0.02,0.0,0.02,0.447,0.0,0.02,0.0,0.02,0.0,0.1,0.0,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.447,0.1,0.0,0.1,0.02,1.0,0.02,0.1,0.02,0.02,0.1,0.02,0.0,0.447,0.0,0.0
43,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.1,0.1,0.02,0.1,0.1,0.02,0.0,0.02,0.1,0.1,0.0,0.0,0.447,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.1,0.02,0.02,0.02,0.02,0.1,0.02,0.1,0.1,0.0,0.1,0.1,1.0,0.1,0.02,0.02,0.02,0.1,0.02,0.0,0.1,0.0,0.02
44,0.02,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.02,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.447,0.02,0.02,0.0,0.1,0.02,0.1,0.02,0.1,0.02,0.0,0.447,0.02,0.02,0.0,0.1,0.02,0.0,0.02,0.02,1.0,0.02,0.02,0.02,0.02,0.447,0.02,0.02,0.1,0.0,0.0
45,0.1,0.1,0.02,0.02,0.1,0.1,1.0,0.02,0.447,0.1,0.1,0.02,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.02,0.02,0.02,0.02,0.1,0.0,0.1,0.02,0.02,0.447,0.02,0.02,0.02,0.1,0.1,0.02,0.02,0.02,1.0,0.0,0.02,0.0,0.02,0.1,0.02,0.02,0.447,0.0,0.02
46,0.1,0.1,0.02,0.02,0.0,0.1,0.1,0.1,0.1,0.02,0.1,0.1,0.0,0.0,0.1,0.1,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.1,0.02,0.0,0.1,0.1,1.0,0.1,0.1,0.02,0.02,0.1,0.0,0.02,0.447,0.02,0.02
47,0.1,0.02,0.02,0.02,0.02,0.1,0.02,0.1,0.1,0.1,0.447,0.02,0.0,0.0,0.1,0.1,0.02,0.0,0.0,0.447,0.02,0.0,0.02,0.02,0.0,0.1,0.02,0.1,0.1,0.0,0.1,0.0,0.1,0.02,0.447,0.0,0.0,0.1,0.1,1.0,0.0,0.1,0.02,0.1,0.02,0.0,0.1,1.0,0.0,0.02
48,0.02,0.02,0.02,0.02,0.02,0.447,0.1,0.1,0.1,0.0,0.1,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.0,1.0,0.02,0.1,0.0,0.02,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.02,0.02,0.1,0.02,0.02,0.1,0.1,1.0,0.1,0.02,0.02,0.02,0.1,0.0,0.02,0.1,0.0,0.02
49,0.1,0.0,0.02,0.1,0.02,0.1,0.1,0.1,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.447,0.02,0.0,0.0,0.1,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.02,0.0,0.1,0.0,0.02,0.0,1.0,0.02,0.02,0.1,0.1,1.0,0.02,0.02,0.1,0.1,0.02,0.02,0.02,0.1,0.0,0.02
50,0.1,0.1,0.1,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.02,0.1,0.0,0.0,0.02,0.1,0.1,0.02,0.0,0.447,0.0,0.02,0.0,0.02,0.02,0.1,0.0,0.02,0.02,0.0,0.02,0.0,0.1,0.02,0.1,0.02,0.0,0.1,0.1,1.0,0.02,0.02,0.1,0.02,0.02,0.02,0.0,1.0,0.0,0.0
51,0.1,0.1,0.02,0.02,0.0,0.1,0.1,0.02,0.447,0.447,0.1,0.02,0.0,0.0,0.0,0.447,0.1,0.0,0.02,0.447,0.0,0.02,0.0,0.02,0.02,0.1,0.0,0.1,0.02,0.02,0.1,0.02,0.02,0.0,0.447,0.02,0.02,0.02,0.02,1.0,0.02,0.1,0.0,0.02,0.1,0.02,0.02,1.0,0.0,0.02
