id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass,DS,DV
85,37.65426238259726,-122.01288377941228,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,2,0,POINT Z (-122.01288377941228 37.65426238259726 0),High-Code,,1,0.10282
86,37.650422311006224,-122.00647453340808,1645.0,2.0,1993,1540004.44,1026669.63,W,W1,RES1,RES1,2,1,POINT Z (-122.00647453340807 37.650422311006224 0),High-Code,,1,0.08668
87,37.64910876563584,-122.00485382578736,955.0,3.0,1993,1406044.51,937363.01,W,W1,RES1,RES1,2,1,POINT Z (-122.00485382578736 37.64910876563584 0),High-Code,,1,0.07574
88,37.65274604789564,-122.00863075884644,1571.5,2.0,1993,1490716.68,993811.12,W,W1,RES1,RES1,3,2,POINT Z (-122.00863075884645 37.65274604789564 0),High-Code,,1,0.07614000000000001
89,37.65056298333931,-122.0063823397838,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,4,2,POINT Z (-122.00638233978381 37.65056298333931 0),High-Code,,1,0.09376
90,37.6542015407456,-122.0126543941308,1960.0,2.0,1993,1757126.4200000002,1171417.61,W,W1,RES1,RES1,2,0,POINT Z (-122.0126543941308 37.654201540745596 0),High-Code,,1,0.08802
91,37.65749472154409,-122.01427893658378,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,3,2,POINT Z (-122.01427893658378 37.65749472154409 0),High-Code,,1,0.10122
92,37.65618665105109,-122.01667158818232,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,3,1,POINT Z (-122.01667158818233 37.65618665105109 0),High-Code,,1,0.10308
93,37.65724831930533,-122.01694062240288,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,2,0,POINT Z (-122.01694062240288 37.65724831930533 0),High-Code,,1,0.09494
94,37.649277412447645,-122.00600852916236,1488.0,2.0,1993,1440950.58,960633.72,W,W1,RES1,RES1,4,2,POINT Z (-122.00600852916236 37.649277412447645 0),High-Code,,1,0.09588
95,37.649775593421175,-122.00489868845042,1488.0,2.0,1993,1706002.14,1137334.76,W,W1,RES1,RES1,3,1,POINT Z (-122.00489868845042 37.649775593421175 0),High-Code,,1,0.07534
96,37.64864678012814,-122.00499886286,1139.0,2.0,1993,1197803.52,798535.68,W,W1,RES1,RES1,3,2,POINT Z (-122.00499886285999 37.64864678012814 0),High-Code,,1,0.09614
97,37.65184791872847,-122.00765737481083,1610.0,2.0,1993,1514336.67,1009557.78,W,W1,RES1,RES1,3,2,POINT Z (-122.00765737481085 37.65184791872847 0),High-Code,,1,0.09628
98,37.65155486169796,-122.00712029336884,1571.5,2.0,1993,1490716.68,993811.12,W,W1,RES1,RES1,4,2,POINT Z (-122.00712029336883 37.65155486169796 0),High-Code,,1,0.09053999999999998
99,37.65009313045823,-122.005079173665,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,2,0,POINT Z (-122.00507917366501 37.65009313045823 0),High-Code,,1,0.07734
100,37.65566147526253,-122.0165424158585,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,2,0,POINT Z (-122.0165424158585 37.65566147526253 0),High-Code,,1,0.10896
101,37.6524871826065,-122.00837169837762,1571.5,2.0,1993,1490716.68,993811.12,W,W1,RES1,RES1,3,1,POINT Z (-122.00837169837762 37.6524871826065 0),High-Code,,1,0.08681999999999998
102,37.65731086168919,-122.01642145155388,2525.0,2.0,1993,2103790.67,1402527.11,W,W1,RES1,RES1,3,1,POINT Z (-122.01642145155387 37.65731086168919 0),High-Code,,1,0.09774
103,37.655283735985265,-122.01658913485898,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,2,1,POINT Z (-122.01658913485898 37.655283735985265 0),High-Code,,1,0.09947999999999999
104,37.650614764400665,-122.00601634697531,1482.5,2.0,1993,1437556.59,958371.06,W,W1,RES1,RES1,2,0,POINT Z (-122.00601634697533 37.650614764400665 0),High-Code,,1,0.08882000000000001
105,37.654285480137254,-122.01585610426028,2525.0,2.0,1993,2103790.67,1402527.11,W,W1,RES1,RES1,2,0,POINT Z (-122.01585610426028 37.654285480137254 0),High-Code,,1,0.08442
106,37.657070393330024,-122.0154638134108,1559.5,2.0,1993,1483767.97,989178.65,W,W1,RES1,RES1,2,0,POINT Z (-122.01546381341079 37.657070393330024 0),High-Code,,1,0.09373999999999999
107,37.649943749938046,-122.00500836808658,1650.0,2.0,1993,1543646.07,1029097.38,W,W1,RES1,RES1,3,1,POINT Z (-122.00500836808658 37.649943749938046 0),High-Code,,1,0.09416000000000001
108,37.6505682938074,-122.00532502794908,1650.0,2.0,1993,1543646.07,1029097.38,W,W1,RES1,RES1,2,0,POINT Z (-122.00532502794907 37.6505682938074 0),High-Code,,1,0.08362
109,37.650743962825594,-122.0058980858617,1470.0,2.0,1993,1429789.64,953193.09,W,W1,RES1,RES1,3,1,POINT Z (-122.0058980858617 37.650743962825594 0),High-Code,,1,0.11054
110,37.6574188922424,-122.01312728683608,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,4,2,POINT Z (-122.01312728683608 37.657418892242404 0),High-Code,,1,0.11722000000000002
111,37.65713137921626,-122.01640234287306,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,3,2,POINT Z (-122.01640234287306 37.65713137921626 0),High-Code,,1,0.08601999999999999
112,37.657111851005745,-122.01526977355331,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,4,2,POINT Z (-122.01526977355333 37.657111851005745 0),High-Code,,1,0.06922
113,37.6517396194018,-122.00748742835044,1571.5,2.0,1993,1490716.68,993811.12,W,W1,RES1,RES1,3,2,POINT Z (-122.00748742835044 37.6517396194018 0),High-Code,,1,0.09162000000000001
114,37.65325663273134,-122.00918209065232,1571.5,2.0,1993,1490716.68,993811.12,W,W1,RES1,RES1,3,1,POINT Z (-122.00918209065233 37.65325663273134 0),High-Code,,1,0.07748000000000001
115,37.64936474400283,-122.00455629542546,955.0,3.0,1993,1406044.51,937363.01,W,W1,RES1,RES1,3,2,POINT Z (-122.00455629542546 37.64936474400283 0),High-Code,,1,0.07254000000000001
116,37.65755835621845,-122.01403841805016,1559.5,2.0,1993,1483767.97,989178.65,W,W1,RES1,RES1,4,2,POINT Z (-122.01403841805015 37.65755835621845 0),High-Code,,1,0.10321999999999999
117,37.65351323413077,-122.010477209787,2071.0,2.0,1993,1829881.85,1219921.23,W,W1,RES1,RES1,3,2,POINT Z (-122.01047720978701 37.65351323413077 0),High-Code,,1,0.08242
118,37.65755848165474,-122.0137914894841,1708.5,2.0,1993,1585785.21,1057190.14,W,W1,RES1,RES1,4,2,POINT Z (-122.0137914894841 37.65755848165474 0),High-Code,,1,0.09708
119,37.65312241423566,-122.0090306548011,1610.0,2.0,1993,1514336.67,1009557.78,W,W1,RES1,RES1,3,2,POINT Z (-122.0090306548011 37.65312241423566 0),High-Code,,1,0.07548
