id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
26,37.67005408057753,-122.07357554791507,4121.0489853830095,2.0,1963.0,2876780.665226317,1917853.7768175448,W1,W,RES3D,11.0,60014364032001.0,6001436403.0,9252.0,POINT (-122.07357554791507 37.67005408057753),RES3,Moderate-Code,
27,37.66709594255758,-122.09014027108128,814.0,1.0,1947.0,208253.76,138835.84,W1,W,RES1,1.0,60014363021002.0,6001436302.0,20517.0,POINT (-122.09014027108128 37.66709594255758),RES1,Moderate-Code,
28,37.642989242802884,-122.09751740211408,1290.0,1.0,1958.0,330033.6,220022.4,W1,W,RES1,1.0,60014370001008.0,6001437000.0,4693.0,POINT (-122.09751740211408 37.642989242802884),RES1,Moderate-Code,
29,37.647418899424096,-122.08371359048095,1059.0,1.0,1952.0,270934.56,180623.04,W1,W,RES1,1.0,60014374002002.0,6001437400.0,25746.0,POINT (-122.08371359048095 37.647418899424096),RES1,Moderate-Code,
30,37.606829676862645,-122.05043374151192,130122.0,1.0,1974.0,26441441.009999998,17627627.34,RM1,M,COM2,2.0,60014382031058.0,6001438203.0,30766.0,POINT (-122.05043374151192 37.606829676862645),COM2,Moderate-Code,Low-Rise
31,37.66903702921934,-122.07400666589892,1372.9860934290034,2.0,1986.0,487272.7645579533,324848.5097053022,W1,W,RES3B,4.0,60014364032000.0,6001436403.0,5175.0,POINT (-122.07400666589892 37.66903702921934),RES3,High-Code,
32,37.613912872351825,-122.03095986103126,1237.0,1.0,1957.0,316474.08,210982.72,W1,W,RES1,1.0,60014381004014.0,6001438100.0,10915.0,POINT (-122.03095986103126 37.613912872351825),RES1,Moderate-Code,
33,37.6279586784786,-122.07433927703983,1600.0,1.0,1963.0,409344.0,272896.0,W1,W,RES1,1.0,60014382013008.0,6001438201.0,8097.0,POINT (-122.07433927703983 37.6279586784786),RES1,Moderate-Code,
34,37.67159734653579,-122.09096306388,704.0,1.5,1926.0,270167.04000000004,180111.36000000002,W1,W,RES1,1.0,60014363011004.0,6001436301.0,25752.0,POINT (-122.09096306388 37.67159734653579),RES1,Moderate-Code,
35,37.676867631661906,-122.06955791346036,1976.007438446563,1.0,1965.0,398866.9814876309,265911.32099175395,W1,W,RES3A,2.0,60014353002009.0,6001435300.0,9272.0,POINT (-122.06955791346036 37.676867631661906),RES3,Moderate-Code,
