id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
14,37.62083642342931,-122.0857764744881,1683.5763787,1.0,1965.0,186674.94887025602,124449.96591350401,MH,H,RES2,RES2,1.0,60014384002005.0,6001438400.0,9548.0,POINT (-122.0857764744881 37.62083642342931),Moderate-Code,
15,37.66709594255758,-122.09014027108128,814.0,1.0,1947.0,208253.76,138835.84,W1,W,RES1,RES1,1.0,60014363021002.0,6001436302.0,20522.0,POINT (-122.09014027108128 37.66709594255758),Moderate-Code,
16,37.67612437255197,-122.08484550368662,1363.3333333333333,1.5,1936.0,523192.80000000005,348795.2,W1,W,RES1,RES1,1.0,60014354002001.0,6001435400.0,5785.0,POINT (-122.08484550368662 37.67612437255197),Moderate-Code,
17,37.640472481556294,-122.06339814766638,1280.0,1.0,1950.0,327475.19999999995,218316.8,W1,W,RES1,RES1,1.0,60014378002001.0,6001437800.0,6189.0,POINT (-122.06339814766638 37.640472481556294),Moderate-Code,
18,37.66493951844813,-122.07133552980538,846.0,1.0,1949.0,216440.64,144293.76,W1,W,RES1,RES1,1.0,60014364031004.0,6001436403.0,37342.0,POINT (-122.07133552980538 37.66493951844813),Moderate-Code,
19,37.6563720786856,-122.07164160135893,3290.74068005306,1.0,1965.0,659513.793392834,439675.8622618894,RM2,M,COM1,COM1,2.0,60014365001021.0,6001436500.0,13055.0,POINT (-122.07164160135893 37.6563720786856),Moderate-Code,Low-Rise
20,37.65794089117916,-122.08297291748688,1418.0,1.0,1952.0,362781.12,241854.08000000002,W1,W,RES1,RES1,1.0,60014366011006.0,6001436601.0,4756.0,POINT (-122.08297291748688 37.65794089117916),Moderate-Code,
21,37.63551236008694,-122.07368706404863,724.0,1.0,1934.0,185228.16,123485.44,W1,W,RES1,RES1,1.0,60014377013000.0,6001437701.0,20708.0,POINT (-122.07368706404863 37.63551236008694),Moderate-Code,
22,37.6405037663816,-122.11219152816543,1333.3333333333333,1.5,1994.0,511680.0,341120.0,W1,W,RES1,RES1,1.0,60014372002004.0,6001437200.0,12616.0,POINT (-122.11219152816543 37.6405037663816),High-Code,
23,37.62228728000582,-122.03351779838363,1812.0,1.0,1957.0,463582.0800000001,309054.72000000003,W1,W,RES1,RES1,1.0,60014380001007.0,6001438000.0,11771.0,POINT (-122.03351779838363 37.62228728000582),Moderate-Code,
24,37.6663429800524,-122.09208455456587,1043.0,1.0,1950.0,266841.12,177894.08000000002,W1,W,RES1,RES1,1.0,60014363012003.0,6001436301.0,18701.0,POINT (-122.09208455456587 37.6663429800524),Moderate-Code,
25,37.62089662614246,-122.0668599819908,1268.6666666666667,1.5,1997.0,486863.52,324575.68,W1,W,RES1,RES1,1.0,60014382031038.0,6001438203.0,24783.0,POINT (-122.0668599819908 37.62089662614246),High-Code,
26,37.67614486581272,-122.0925092949337,1072.0656510667122,1.0,1940.0,274277.27616890764,182851.51744593843,W1,W,RES1,RES1,1.0,60014355003012.0,6001435500.0,34618.0,POINT (-122.0925092949337 37.67614486581272),Moderate-Code,
