ID,lon,lat,vs30,z1pt0,z2pt5,vsInferred
336,-122.048,37.6813,479.1450837170711,346.66668701171875,3406.66650390625,1
337,-122.048,37.6844,465.00824124516305,346.66668701171875,3406.66650390625,1
338,-122.048,37.6874,451.32742594975156,333.33331298828125,3413.33349609375,1
339,-122.048,37.6907,436.278529124786,333.33331298828125,3413.33349609375,1
340,-122.048,37.6937,422.5977138293745,333.33331298828125,3413.33349609375,1
341,-122.054,37.6003,253.72877810790663,228.05555725097656,855.0,1
342,-122.054,37.6033,260.87657810790444,228.05555725097656,855.0,1
343,-122.054,37.6067,268.97741810789967,287.4698791503906,855.0,1
344,-122.054,37.6097,276.12521810789747,287.4698791503906,855.0,1
345,-122.054,37.6127,283.27301810789527,287.4698791503906,855.0,1
346,-122.054,37.6157,290.42081810789307,151.71429443359375,857.5,1
347,-122.054,37.6191,298.52165810790524,151.71429443359375,857.5,1
348,-122.054,37.6221,305.669458107903,151.71429443359375,857.5,1
349,-122.054,37.6251,312.81725810790084,57.24137878417969,857.1428833007812,1
350,-122.054,37.6285,320.91809810789607,57.24137878417969,857.1428833007812,1
351,-122.054,37.6315,328.0658981078939,57.24137878417969,857.1428833007812,1
352,-122.054,37.6345,340.5255859329507,57.24137878417969,857.1428833007812,1
353,-122.054,37.6378,363.4132200665252,8.886419296264648,15.554567337036133,1
354,-122.054,37.6408,384.2201601879834,8.886419296264648,15.554567337036133,1
355,-122.054,37.6439,405.72066498017995,8.886419296264648,15.554567337036133,1
356,-122.054,37.6469,426.5276051016381,0.0,0.0,1
357,-122.054,37.6502,449.41523923521254,0.0,0.0,1
358,-122.054,37.6532,470.2221793566708,0.0,0.0,1
359,-122.054,37.6562,491.029119478129,346.66668701171875,650.6103515625,1
360,-122.054,37.6596,514.6103182824418,346.66668701171875,650.6103515625,1
361,-122.054,37.6626,535.4172584039,346.66668701171875,650.6103515625,1
362,-122.054,37.6656,556.2241985253581,340.0,3400.197998046875,1
363,-122.054,37.669,552.941237414601,340.0,3400.197998046875,1
364,-122.054,37.672,539.2085433594239,340.0,3400.197998046875,1
365,-122.054,37.675,525.4758493042467,340.0,3400.197998046875,1
366,-122.054,37.678,511.7431552490696,346.66668701171875,3406.66650390625,1
367,-122.054,37.6813,496.63719178836175,346.66668701171875,3406.66650390625,1
368,-122.054,37.6844,482.4467412646961,346.66668701171875,3406.66650390625,1
369,-122.054,37.6874,468.7140472095189,333.33331298828125,3413.33349609375,1
370,-122.054,37.6907,453.60808374881105,333.33331298828125,3413.33349609375,1
371,-122.054,37.6937,439.875389693634,333.33331298828125,3413.33349609375,1
372,-122.059,37.6003,243.65162765014887,228.05555725097656,857.1428833007812,1
373,-122.059,37.6033,247.9779276501488,228.05555725097656,857.1428833007812,1
374,-122.059,37.6067,252.88106765014737,267.56097412109375,857.5,1
375,-122.059,37.6097,257.2073676501473,267.56097412109375,857.5,1
376,-122.059,37.6127,261.53366765014727,267.56097412109375,857.5,1
377,-122.059,37.6157,265.85996765014715,267.56097412109375,857.5,1
378,-122.059,37.6191,270.7631076501559,267.56097412109375,857.5,1
379,-122.059,37.6221,275.08940765015586,267.56097412109375,857.5,1
380,-122.059,37.6251,279.41570765015587,114.16667175292969,857.1428833007812,1
381,-122.059,37.6285,284.31884765015445,114.16667175292969,857.1428833007812,1
382,-122.059,37.6315,288.6451476501543,114.16667175292969,857.1428833007812,1
383,-122.059,37.6345,301.3382276909658,114.16667175292969,857.1428833007812,1
384,-122.059,37.6378,329.7631926633022,38.085105895996094,874.2857666015625,1
385,-122.059,37.6408,355.6040699109141,38.085105895996094,874.2857666015625,1
386,-122.059,37.6439,382.306309733475,38.085105895996094,874.2857666015625,1
387,-122.059,37.6469,408.1471869810869,19.607650756835938,872.5,1
388,-122.059,37.6502,436.57215195342326,19.607650756835938,872.5,1
389,-122.059,37.6532,462.4130292010353,19.607650756835938,872.5,1
390,-122.059,37.6562,488.2539064486472,8.886419296264648,15.554567337036133,1
391,-122.059,37.6596,517.5402339959326,8.886419296264648,15.554567337036133,1
392,-122.059,37.6626,543.3811112435444,8.886419296264648,15.554567337036133,1
393,-122.059,37.6656,569.2219884911563,333.33331298828125,1547.26123046875,1
394,-122.059,37.669,567.695246569862,333.33331298828125,1547.26123046875,1
395,-122.059,37.672,553.9193202148801,333.33331298828125,1547.26123046875,1
396,-122.059,37.675,540.1433938598984,333.33331298828125,1547.26123046875,1
397,-122.059,37.678,526.3674675049166,333.33331298828125,3420.0,1
398,-122.059,37.6813,511.21394851442363,333.33331298828125,3420.0,1
399,-122.059,37.6844,496.9788246142931,333.33331298828125,3420.0,1
400,-122.059,37.6874,483.2028982593114,346.66668701171875,3420.0,1
401,-122.059,37.6907,468.04937926881837,346.66668701171875,3420.0,1
402,-122.059,37.6937,454.27345291383665,346.66668701171875,3420.0,1
403,-122.065,37.6003,231.55904710082808,228.05555725097656,857.1428833007812,1
