id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
10,37.61909486445553,-122.07039611771012,1194.6666666666667,1.5,1994.0,458465.28,305643.52,W1,W,RES1,RES1,1.0,60014382031030.0,6001438203.0,5747.0,POINT (-122.07039611771012 37.61909486445553),High-Code,
11,37.67590032091113,-122.0730551501347,1310.7285969421948,1.0,1953.0,335336.80424169113,223557.86949446076,W1,W,RES1,RES1,1.0,60014353001011.0,6001435300.0,11843.0,POINT (-122.0730551501347 37.67590032091113),Moderate-Code,
12,37.64458655972356,-122.07836315527553,1130.0,1.0,1954.0,289099.19999999995,192732.8,W1,W,RES1,RES1,1.0,60014375002009.0,6001437500.0,2191.0,POINT (-122.07836315527553 37.64458655972356),Moderate-Code,
13,37.66118988422735,-122.09012680901787,2527.3333333333335,3.0,2013.0,2845410.87,1896940.58,W1,W,RES3,RES3C,5.0,60014363012010.0,6001436301.0,10976.0,POINT (-122.09012680901787 37.66118988422735),High-Code,
14,37.62083642342931,-122.0857764744881,1683.5763787,1.0,1965.0,186674.94887025602,124449.96591350401,MH,H,RES2,RES2,1.0,60014384002005.0,6001438400.0,9548.0,POINT (-122.0857764744881 37.62083642342931),Moderate-Code,
15,37.61508094186389,-122.03362119752393,1682.0,1.0,1957.0,430322.88,286881.92,W1,W,RES1,RES1,1.0,60014381004011.0,6001438100.0,20518.0,POINT (-122.03362119752393 37.61508094186389),Moderate-Code,
16,37.67612437255197,-122.08484550368662,1363.3333333333333,1.5,1936.0,523192.80000000005,348795.2,W1,W,RES1,RES1,1.0,60014354002001.0,6001435400.0,5785.0,POINT (-122.08484550368662 37.67612437255197),Moderate-Code,
17,37.640472481556294,-122.06339814766638,1280.0,1.0,1950.0,327475.19999999995,218316.8,W1,W,RES1,RES1,1.0,60014378002001.0,6001437800.0,6189.0,POINT (-122.06339814766638 37.640472481556294),Moderate-Code,
18,37.66493951844813,-122.07133552980538,846.0,1.0,1949.0,216440.64,144293.76,W1,W,RES1,RES1,1.0,60014364031004.0,6001436403.0,37342.0,POINT (-122.07133552980538 37.66493951844813),Moderate-Code,
19,37.6563720786856,-122.07164160135893,3290.74068005306,1.0,1965.0,659513.793392834,439675.8622618894,RM1,M,COM1,COM1,2.0,60014365001021.0,6001436500.0,13055.0,POINT (-122.07164160135893 37.6563720786856),Moderate-Code,Low-Rise
